state,label,n,state_n,pct,p05,p50,p95,dated_n,s_p05,s_p50,s_p95,outlier_flags,status_details,cleaning_action
CA,INACTIVE / (none) / Forfeited - FTB/SOS,70994,9366323,0.758,1983.0,2002.0,2017.0,70994.0,1970,2013,2025,,Forfeited - FTB/SOS,
CA,ACTIVE / NOT_GOOD_STANDING / Active,50220,9366323,0.536,1986.0,2021.0,2024.0,50220.0,1970,2013,2025,,Active,
CA,INACTIVE / (none) / Converted Out,47608,9366323,0.508,1990.0,2011.0,2021.0,47608.0,1970,2013,2025,,Converted Out,
CA,ACTIVE / PENDING_INACTIVE / Active - Pending Termination,42280,9366323,0.451,1987.0,2021.0,2025.0,42280.0,1970,2013,2025,,Active - Pending Termination,
CA,INACTIVE / (none) / Suspended - SOS,25982,9366323,0.277,1973.0,2007.0,2019.0,25982.0,1970,2013,2025,,Suspended - SOS,
CA,INACTIVE / (none) / Terminated - SOS Admin,17905,9366323,0.191,1986.0,2010.0,2026.0,17905.0,1970,2013,2025,,Terminated - SOS Admin,
CA,INACTIVE / (none) / Forfeited - SOS,6802,9366323,0.073,1981.0,2009.0,2018.0,6802.0,1970,2013,2025,,Forfeited - SOS,
CA,INACTIVE / (none) / Terminated - Term Expired,3798,9366323,0.041,1874.0,1895.0,1925.0,3798.0,1970,2013,2025,RETIRED: 95% of filings before 1925 (state median 2013),Terminated - Term Expired,
CA,INACTIVE / (none) / Inactive,673,9366323,0.007,1893.0,1949.0,2017.0,673.0,1970,2013,2025,RARE: <0.01% of state,Inactive,
CA,INACTIVE / (none) / Suspended - FTB/SOS/VCFCF,82,9366323,0.001,1991.0,2004.0,2014.0,82.0,1970,2013,2025,RARE: <0.01% of state,Suspended - FTB/SOS/VCFCF,
CA,ACTIVE / (none) / ACTIVE,79,9366323,0.001,2018.0,2021.0,2021.0,79.0,1970,2013,2025,RARE: <0.01% of state,ACTIVE,
CA,ACTIVE / PENDING_ACTIVE / Active - Pending Future Effective Date,9,9366323,0.0,2009.0,2026.0,2026.0,9.0,1970,2013,2025,RARE: <0.01% of state,Active - Pending Future Effective Date,
CA,INACTIVE / (none) / Forfeited - FTB/SOS/VCFCF,6,9366323,0.0,2001.0,2005.0,2017.0,6.0,1970,2013,2025,RARE: <0.01% of state,Forfeited - FTB/SOS/VCFCF,
CA,INACTIVE / (none) / Suspended - VCFCF,6,9366323,0.0,1990.0,2003.0,2012.0,6.0,1970,2013,2025,RARE: <0.01% of state,Suspended - VCFCF,
CA,ACTIVE / (none) / Active,5,9366323,0.0,2023.0,2024.0,2025.0,5.0,1970,2013,2025,RARE: <0.01% of state,Active,
CA,ACTIVE / PENDING_ACTIVE / Active - Pending Future File Date,3,9366323,0.0,2024.0,2025.0,2025.0,3.0,1970,2013,2025,RARE: <0.01% of state,Active - Pending Future File Date,
CA,ACTIVE / PENDING_INACTIVE / Active - Pending Merger,2,9366323,0.0,1997.0,1997.0,2018.0,2.0,1970,2013,2025,RARE: <0.01% of state,Active - Pending Merger,
CA,INACTIVE / (none) / Forfeited - VCFCF,2,9366323,0.0,2003.0,2003.0,2022.0,2.0,1970,2013,2025,RARE: <0.01% of state,Forfeited - VCFCF,
CA,UNKNOWN / (none) / Terminated - Court Order,2,9366323,0.0,1998.0,1998.0,2006.0,2.0,1970,2013,2025,RARE: <0.01% of state,Terminated - Court Order,
CA,INACTIVE / (none) / FTB FORFEITED,1,9366323,0.0,2010.0,2010.0,2010.0,1.0,1970,2013,2025,RARE: <0.01% of state,FTB FORFEITED,
CO,ACTIVE / NOT_GOOD_STANDING / Delinquent,1142080,3123234,36.567,2000.0,2015.0,2024.0,1142080.0,1995,2016,2026,,Delinquent,
