state,label,n,state_n,pct,p05,p50,p95,dated_n,s_p05,s_p50,s_p95,outlier_flags,status_details,cleaning_action
HI,ACTIVE / NOT_GOOD_STANDING / Delinquent,49749,820825,6.061,2003.0,2022.0,2024.0,49749.0,1984,2010,2024,,Delinquent,
HI,INACTIVE / (none) / Terminated,46531,820825,5.669,2001.0,2014.0,2023.0,46531.0,1984,2010,2024,,Terminated,
HI,INACTIVE / DISSOLVED / Dissolved,39293,820825,4.787,1975.0,1997.0,2019.0,39293.0,1984,2010,2024,,Dissolved,
HI,INACTIVE / (none) / Inv. Revoked,18485,820825,2.252,1982.0,2004.0,2019.0,18485.0,1984,2010,2024,,Inv. Revoked,
HI,INACTIVE / (none) / Inv. Cancelled,18259,820825,2.224,1980.0,1994.0,2020.0,18259.0,1984,2010,2024,,Inv. Cancelled,
HI,INACTIVE / (none) / Withdrawn,17147,820825,2.089,1982.0,2004.0,2021.0,17147.0,1984,2010,2024,,Withdrawn,
HI,INACTIVE / (none) / Cancelled,15056,820825,1.834,1988.0,2006.0,2022.0,15056.0,1984,2010,2024,,Cancelled,
HI,ACTIVE / NOT_GOOD_STANDING / Delinquent 2 Years,8507,820825,1.036,1999.0,2021.0,2022.0,8507.0,1984,2010,2024,,Delinquent 2 Years,
HI,INACTIVE / (none) / Merged,5463,820825,0.666,1973.0,2004.0,2022.0,5463.0,1984,2010,2024,,Merged,
HI,INACTIVE / (none) / Converted,3509,820825,0.427,1984.0,2008.0,2023.0,3509.0,1984,2010,2024,,Converted,
HI,ACTIVE / (none) / (none),11,820825,0.001,1987.0,2015.0,2018.0,11.0,1984,2010,2024,RARE: <0.01% of state,(none),
HI,INACTIVE / (none) / purged,7,820825,0.001,1990.0,2002.0,2002.0,7.0,1984,2010,2024,RARE: <0.01% of state,purged,
HI,INACTIVE / (none) / Records Frozen,5,820825,0.001,1950.0,1978.0,1993.0,5.0,1984,2010,2024,RARE: <0.01% of state,Records Frozen,
HI,INACTIVE / (none) / New,2,820825,0.0,2016.0,2016.0,2026.0,2.0,1984,2010,2024,RARE: <0.01% of state,New,
HI,INACTIVE / (none) / Inactive,1,820825,0.0,1999.0,1999.0,1999.0,1.0,1984,2010,2024,RARE: <0.01% of state,Inactive,
IA,ACTIVE / (none) / (none),344639,685680,50.262,1983.0,2020.0,2026.0,344633.0,1973,2015,2025,,(none),
IA,INACTIVE / (none) / (none),341041,685680,49.738,1968.0,2006.0,2023.0,341041.0,1973,2015,2025,,(none),
ID,ACTIVE / GOOD_STANDING / Active-Current,267038,1033891,25.828,1998.0,2010.0,2025.0,267038.0,1977,2014,2025,,Active-Current,
ID,INACTIVE / DISSOLVED / Inactive-Dissolved (Administrative),225835,1033891,21.843,1994.0,2013.0,2024.0,225835.0,1977,2014,2025,,Inactive-Dissolved (Administrative),
ID,ACTIVE / GOOD_STANDING / Active-Existing,224950,1033891,21.758,2006.0,2022.0,2026.0,224950.0,1977,2014,2025,,Active-Existing,
ID,ACTIVE / GOOD_STANDING / Active-Good Standing,63600,1033891,6.152,1976.0,2015.0,2026.0,63600.0,1977,2014,2025,,Active-Good Standing,
ID,INACTIVE / (none) / Inactive-Forfeited,62335,1033891,6.029,1905.0,1972.0,1992.0,62335.0,1977,2014,2025,RETIRED: 95% of filings before 1992 (state median 2014),Inactive-Forfeited,
ID,INACTIVE / DISSOLVED / Inactive-Dissolved,61685,1033891,5.966,1976.0,2011.0,2024.0,61685.0,1977,2014,2025,,Inactive-Dissolved,
ID,INACTIVE / (none) / Inactive-Revoked (Administrative),35963,1033891,3.478,1991.0,2012.0,2023.0,35963.0,1977,2014,2025,,Inactive-Revoked (Administrative),
ID,INACTIVE / (none) / Inactive-Cancelled,28050,1033891,2.713,1997.0,2010.0,2024.0,28050.0,1977,2014,2025,,Inactive-Cancelled,
ID,INACTIVE / (none) / Inactive-Withdrawn,24077,1033891,2.329,1956.0,2004.0,2022.0,24077.0,1977,2014,2025,,Inactive-Withdrawn,
ID,INACTIVE / (none) / Inactive-Expired,14638,1033891,1.416,1993.0,2021.0,2025.0,14638.0,1977,2014,2025,,Inactive-Expired,
ID,INACTIVE / (none) / Inactive-Cancelled (Administrative),8207,1033891,0.794,1995.0,2007.0,2016.0,8207.0,1977,2014,2025,,Inactive-Cancelled (Administrative),
ID,ACTIVE / NOT_GOOD_STANDING / Active-Existing,6337,1033891,0.613,2007.0,2023.0,2025.0,6337.0,1977,2014,2025,,Active-Existing,
ID,INACTIVE / (none) / Inactive-Merged Out,5080,1033891,0.491,1934.0,1979.0,2014.0,5080.0,1977,2014,2025,,Inactive-Merged Out,
ID,INACTIVE / (none) / Inactive-Terminated (Administrative),2144,1033891,0.207,1983.0,1996.0,2010.0,2144.0,1977,2014,2025,,Inactive-Terminated (Administrative),
ID,INACTIVE / DISSOLVED / Inactive-Dissolved (No Agent),1101,1033891,0.106,1996.0,2005.0,2015.0,1101.0,1977,2014,2025,,Inactive-Dissolved (No Agent),
ID,ACTIVE / NOT_GOOD_STANDING / Active-Good Standing,1018,1033891,0.098,1980.0,2020.0,2025.0,1018.0,1977,2014,2025,,Active-Good Standing,
ID,INACTIVE / DISSOLVED / Inactive-Terminated,869,1033891,0.084,1990.0,2007.0,2022.0,869.0,1977,2014,2025,,Inactive-Terminated,
ID,INACTIVE / DISSOLVED / Inactive-Domesticated Out,629,1033891,0.061,1999.0,2018.0,2024.0,629.0,1977,2014,2025,,Inactive-Domesticated Out,
ID,INACTIVE / (none) / Inactive-Revoked (No Agent),186,1033891,0.018,1974.0,1992.0,2014.0,186.0,1977,2014,2025,,Inactive-Revoked (No Agent),
ID,INACTIVE / (none) / Inactive-Consolidated,80,1033891,0.008,1912.0,1964.0,2007.0,80.0,1977,2014,2025,RARE: <0.01% of state,Inactive-Consolidated,
ID,ACTIVE / NOT_GOOD_STANDING / Active-Current,63,1033891,0.006,1985.0,2016.0,2025.0,63.0,1977,2014,2025,RARE: <0.01% of state,Active-Current,
ID,INACTIVE / (none) / Inactive-Converted Out,6,1033891,0.001,1977.0,2010.0,2017.0,6.0,1977,2014,2025,RARE: <0.01% of state,Inactive-Converted Out,
IL,INACTIVE / DISSOLVED / Dissolved,1361773,3482621,39.102,1978.0,2002.0,2021.0,1361772.0,1983,2012,2025,,Dissolved,
IL,ACTIVE / GOOD_STANDING / Goodstanding,1040521,3482621,29.878,1991.0,2020.0,2026.0,1040521.0,1983,2012,2025,,Goodstanding,
IL,INACTIVE / DISSOLVED / Involuntary Dissolution,601051,3482621,17.259,2002.0,2019.0,2024.0,601049.0,1983,2012,2025,,Involuntary Dissolution,
IL,INACTIVE / DISSOLVED / Voluntary Diss./Terminated,114275,3482621,3.281,2001.0,2016.0,2024.0,114274.0,1983,2012,2025,,Voluntary Diss./Terminated,
IL,INACTIVE / DISSOLVED / Revoked,113157,3482621,3.249,1977.0,2003.0,2022.0,113157.0,1983,2012,2025,,Revoked,
IL,INACTIVE / DISSOLVED / Withdrawn,74155,3482621,2.129,1977.0,2006.0,2021.0,74155.0,1983,2012,2025,,Withdrawn,
IL,INACTIVE / NOT_GOOD_STANDING / NGS,69076,3482621,1.983,2013.0,2024.0,2025.0,69076.0,1983,2012,2025,,NGS,
IL,ACTIVE / NOT_GOOD_STANDING / Not goodstanding,38985,3482621,1.119,1987.0,2019.0,2025.0,38985.0,1983,2012,2025,,Not goodstanding,
IL,ACTIVE / GOOD_STANDING / Merged/Consolidated,26316,3482621,0.756,1957.0,1989.0,2011.0,26316.0,1983,2012,2025,,Merged/Consolidated,
IL,ACTIVE / PENDING_ACTIVE / Reinstated,22977,3482621,0.66,1999.0,2020.0,2024.0,22977.0,1983,2012,2025,,Reinstated,
IL,INACTIVE / DISSOLVED / Administratively Dissolved,6815,3482621,0.196,1994.0,1999.0,2006.0,6815.0,1983,2012,2025,,Administratively Dissolved,
IL,ACTIVE / GOOD_STANDING / Merged,4264,3482621,0.122,1997.0,2007.0,2020.0,4264.0,1983,2012,2025,,Merged,
IL,ACTIVE / GOOD_STANDING / Converted,4064,3482621,0.117,1978.0,2016.0,2024.0,4064.0,1983,2012,2025,,Converted,
IL,ACTIVE / GOOD_STANDING / Domesticated,2103,3482621,0.06,2003.0,2017.0,2024.0,2103.0,1983,2012,2025,,Domesticated,
IL,INACTIVE / DISSOLVED / Redomesticated,1361,3482621,0.039,1969.0,2010.0,2022.0,1361.0,1983,2012,2025,,Redomesticated,
IL,INACTIVE / DISSOLVED / Void,489,3482621,0.014,2008.0,2011.0,2024.0,489.0,1983,2012,2025,,Void,
IL,INACTIVE / DISSOLVED / Expired,281,3482621,0.008,1897.0,1970.0,1988.0,281.0,1983,2012,2025,RETIRED: 95% of filings before 1988 (state median 2012); RARE: <0.01% of state,Expired,
IL,INACTIVE / DISSOLVED / Bankruptcy,274,3482621,0.008,1999.0,2017.0,2022.0,274.0,1983,2012,2025,RARE: <0.01% of state,Bankruptcy,
IL,ACTIVE / PENDING_INACTIVE / Unacceptable payment,230,3482621,0.007,1987.0,1996.0,2026.0,230.0,1983,2012,2025,RARE: <0.01% of state,Unacceptable payment,status UNKNOWN->ACTIVE (pending inactivation)
IL,ACTIVE / PENDING_INACTIVE / Agent Vacated,119,3482621,0.003,2007.0,2022.0,2026.0,119.0,1983,2012,2025,RARE: <0.01% of state,Agent Vacated,status UNKNOWN->ACTIVE (pending inactivation)
IL,ACTIVE / PENDING_INACTIVE / Agent vacated,103,3482621,0.003,1985.0,2017.0,2025.0,103.0,1983,2012,2025,RARE: <0.01% of state,Agent vacated,status UNKNOWN->ACTIVE (pending inactivation)
IL,INACTIVE / (none) / Administratively Dissolved,71,3482621,0.002,2023.0,2025.0,2025.0,71.0,1983,2012,2025,RARE: <0.01% of state,Administratively Dissolved,
IL,INACTIVE / (none) / Registered name cancellation,62,3482621,0.002,2016.0,2020.0,2022.0,62.0,1983,2012,2025,RARE: <0.01% of state,Registered name cancellation,
IL,ACTIVE / PENDING_INACTIVE / Hold,56,3482621,0.002,2013.0,2023.0,2026.0,56.0,1983,2012,2025,RARE: <0.01% of state,Hold,status UNKNOWN->ACTIVE (pending inactivation)
IL,ACTIVE / GOOD_STANDING / Ag-Coop,21,3482621,0.001,1915.0,1971.0,2023.0,21.0,1983,2012,2025,RARE: <0.01% of state,Ag-Coop,status UNKNOWN->ACTIVE (good standing)
IL,INACTIVE / PENDING_ACTIVE / Special Act Corporation,16,3482621,0.0,1845.0,1996.0,2019.0,16.0,1983,2012,2025,RARE: <0.01% of state,Special Act Corporation,status UNKNOWN->INACTIVE (pending activation)
IL,ACTIVE / (none) / Special Act Corporation,3,3482621,0.0,2011.0,2011.0,2019.0,3.0,1983,2012,2025,RARE: <0.01% of state,Special Act Corporation,
IL,ACTIVE / PENDING_INACTIVE / Registered name cancellation,3,3482621,0.0,1996.0,1998.0,2001.0,3.0,1983,2012,2025,RARE: <0.01% of state,Registered name cancellation,status UNKNOWN->ACTIVE (pending inactivation)
IN,INACTIVE / DISSOLVED / Admin Dissolved,806563,2019521,39.938,1976.0,2008.0,2023.0,806563.0,1972,2013,2025,,Admin Dissolved,
IN,ACTIVE / (none) / Active,691759,2019521,34.254,1993.0,2021.0,2026.0,691759.0,1972,2013,2025,,Active,
IN,INACTIVE / DISSOLVED / Voluntarily Dissolved,174454,2019521,8.638,1980.0,2010.0,2023.0,174454.0,1972,2013,2025,,Voluntarily Dissolved,
IN,INACTIVE / (none) / Revoked,129965,2019521,6.435,1932.0,1975.0,2019.0,129965.0,1972,2013,2025,,Revoked,
IN,INACTIVE / (none) / Expired,94171,2019521,4.663,1995.0,2015.0,2025.0,94171.0,1972,2013,2025,,Expired,
IN,INACTIVE / (none) / Withdrawn,48090,2019521,2.381,1982.0,2006.0,2022.0,48090.0,1972,2013,2025,,Withdrawn,
IN,ACTIVE / PENDING_INACTIVE / Pending Admin Dissolution,20321,2019521,1.006,2003.0,2022.0,2024.0,20321.0,1972,2013,2025,,Pending Admin Dissolution,
IN,INACTIVE / (none) / Merged,17796,2019521,0.881,1959.0,1994.0,2017.0,17796.0,1972,2013,2025,,Merged,
IN,ACTIVE / (none) / Past Due,15851,2019521,0.785,2001.0,2022.0,2024.0,15851.0,1972,2013,2025,,Past Due,
IN,INACTIVE / (none) / Cancelled,6256,2019521,0.31,1989.0,2006.0,2025.0,6256.0,1972,2013,2025,,Cancelled,
IN,INACTIVE / DISSOLVED / Voluntarily Dissolved (Name Protected),3930,2019521,0.195,2001.0,2023.0,2026.0,3930.0,1972,2013,2025,,Voluntarily Dissolved (Name Protected),
IN,INACTIVE / (none) / Non-Qualified Merged,2766,2019521,0.137,2002.0,2007.0,2015.0,2766.0,1972,2013,2025,,Non-Qualified Merged,
IN,UNKNOWN / (none) / (none),2301,2019521,0.114,2017.0,2023.0,2026.0,2300.0,1972,2013,2025,,(none),
IN,INACTIVE / PENDING_ACTIVE / Reserved,2075,2019521,0.103,2026.0,2026.0,2026.0,2075.0,1972,2013,2025,NEW: 95% of filings after 2026,Reserved,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
IN,ACTIVE / PENDING_INACTIVE / Pending Revocation,1345,2019521,0.067,2000.0,2020.0,2024.0,1345.0,1972,2013,2025,,Pending Revocation,
IN,INACTIVE / (none) / Inactive,1064,2019521,0.053,1993.0,2017.0,2024.0,1064.0,1972,2013,2025,,Inactive,
IN,INACTIVE / (none) / Converted Out,719,2019521,0.036,1979.0,2016.0,2024.0,719.0,1972,2013,2025,,Converted Out,
IN,INACTIVE / DISSOLVED / Judicially Dissolved,66,2019521,0.003,1961.0,1999.0,2015.0,66.0,1972,2013,2025,RARE: <0.01% of state,Judicially Dissolved,
IN,INACTIVE / PENDING_ACTIVE / Pending,23,2019521,0.001,2026.0,2026.0,2026.0,23.0,1972,2013,2025,RARE: <0.01% of state,Pending,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
IN,INACTIVE / (none) / Surrendered,2,2019521,0.0,1999.0,1999.0,2008.0,2.0,1972,2013,2025,RARE: <0.01% of state,Surrendered,
IN,INACTIVE / PENDING_ACTIVE / Pending Domestication,2,2019521,0.0,2024.0,2024.0,2026.0,2.0,1972,2013,2025,RARE: <0.01% of state,Pending Domestication,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
IN,INACTIVE / (none) / Abandoned,1,2019521,0.0,2023.0,2023.0,2023.0,1.0,1972,2013,2025,RARE: <0.01% of state,Abandoned,
IN,INACTIVE / (none) / Converted,1,2019521,0.0,1985.0,1985.0,1985.0,1.0,1972,2013,2025,RARE: <0.01% of state,Converted,
KS,INACTIVE / NOT_GOOD_STANDING / Forfeited - Failed to Timely File I/R,408636,899317,45.438,1919.0,2003.0,2023.0,408590.0,1934,2009,2025,,Forfeited - Failed to Timely File I/R,
KS,ACTIVE / GOOD_STANDING / Active and in Good Standing,292985,899317,32.579,1989.0,2020.0,2026.0,292985.0,1934,2009,2025,,Active and in Good Standing,
KS,INACTIVE / DISSOLVED / Dissolved,109005,899317,12.121,1928.0,2004.0,2023.0,108996.0,1934,2009,2025,,Dissolved,
KS,INACTIVE / (none) / Withdrawn,38805,899317,4.315,1937.0,2003.0,2021.0,38804.0,1934,2009,2025,,Withdrawn,
KS,INACTIVE / (none) / Merged out of Existence,15283,899317,1.699,1935.0,1985.0,2014.0,15274.0,1934,2009,2025,,Merged out of Existence,
KS,INACTIVE / (none) / Expired,11283,899317,1.255,1873.0,1904.0,2024.0,11282.0,1934,2009,2025,,Expired,
KS,ACTIVE / PENDING_ACTIVE / Registered,6026,899317,0.67,1921.0,2013.0,2025.0,6026.0,1934,2009,2025,,Registered,
KS,INACTIVE / NOT_GOOD_STANDING / Forfeited - Failed to Correct and Return I/R,4365,899317,0.485,1970.0,1988.0,2005.0,4364.0,1934,2009,2025,,Forfeited - Failed to Correct and Return I/R,
KS,INACTIVE / (none) / EXPIRED NAME RESERVATION,3193,899317,0.355,2021.0,2022.0,2023.0,3193.0,1934,2009,2025,NEW: 95% of filings after 2021,EXPIRED NAME RESERVATION,
KS,INACTIVE / NOT_GOOD_STANDING / Forfeited - Failed to Designate New Resident Agent,2300,899317,0.256,1976.0,2005.0,2023.0,2300.0,1934,2009,2025,,Forfeited - Failed to Designate New Resident Agent,
KS,INACTIVE / (none) / Incomplete Filing    Never Activated,2121,899317,0.236,1997.0,2000.0,2003.0,2121.0,1934,2009,2025,,Incomplete Filing    Never Activated,
KS,INACTIVE / (none) / Never Activated,1400,899317,0.156,2013.0,2017.0,2022.0,217.0,1934,2009,2025,,Never Activated,
KS,UNKNOWN / (none) / (none),1049,899317,0.117,2020.0,2021.0,2022.0,1049.0,1934,2009,2025,NEW: 95% of filings after 2020,(none),
KS,INACTIVE / NOT_GOOD_STANDING / Rescinded,990,899317,0.11,2024.0,2026.0,2026.0,730.0,1934,2009,2025,NEW: 95% of filings after 2024,Rescinded,
KS,INACTIVE / (none) / Domesticated Out,624,899317,0.069,1992.0,2015.0,2024.0,624.0,1934,2009,2025,,Domesticated Out,
KS,UNKNOWN / (none) / Name Reserved,596,899317,0.066,2023.0,2024.0,2025.0,596.0,1934,2009,2025,NEW: 95% of filings after 2023,Name Reserved,
KS,UNKNOWN / (none) / Converted,305,899317,0.034,1979.0,2002.0,2019.0,304.0,1934,2009,2025,,Converted,
KS,UNKNOWN / (none) / NAME RESERVATION,116,899317,0.013,2023.0,2023.0,2023.0,115.0,1934,2009,2025,NEW: 95% of filings after 2023,NAME RESERVATION,
KS,INACTIVE / (none) / Closed by Order of Bank Commissioner,55,899317,0.006,1891.0,1909.0,1987.0,55.0,1934,2009,2025,RARE: <0.01% of state,Closed by Order of Bank Commissioner,
KS,INACTIVE / PENDING_ACTIVE / Corporation Is Pending,52,899317,0.006,2016.0,2017.0,2021.0,52.0,1934,2009,2025,RARE: <0.01% of state,Corporation Is Pending,status UNKNOWN->INACTIVE (pending activation)
KS,INACTIVE / (none) / Forfeited - Failed to Designate New Registered Office Address,30,899317,0.003,2024.0,2024.0,2026.0,30.0,1934,2009,2025,RARE: <0.01% of state,Forfeited - Failed to Designate New Registered Office Address,
KS,UNKNOWN / (none) / Converted to National/Federal,20,899317,0.002,1884.0,1919.0,1979.0,20.0,1934,2009,2025,RARE: <0.01% of state,Converted to National/Federal,
KS,INACTIVE / PENDING_ACTIVE / Active Pending Examination of I/R,17,899317,0.002,1983.0,2021.0,2026.0,17.0,1934,2009,2025,RARE: <0.01% of state,Active Pending Examination of I/R,status UNKNOWN->INACTIVE (pending activation)
KS,INACTIVE / (none) / Closed by Court Order,16,899317,0.002,1920.0,2004.0,2023.0,16.0,1934,2009,2025,RARE: <0.01% of state,Closed by Court Order,
KS,INACTIVE / (none) / FORFEITED - FAILED TO TIMELY FILE A/R,11,899317,0.001,,,,0.0,1934,2009,2025,RARE: <0.01% of state,FORFEITED - FAILED TO TIMELY FILE A/R,
KS,INACTIVE / (none) / Redomesticated Out,10,899317,0.001,1907.0,1948.0,2011.0,10.0,1934,2009,2025,RARE: <0.01% of state,Redomesticated Out,
KS,INACTIVE / PENDING_ACTIVE / CORPORATION IS PENDING,7,899317,0.001,2022.0,2023.0,2023.0,7.0,1934,2009,2025,RARE: <0.01% of state,CORPORATION IS PENDING,
KS,INACTIVE / NOT_GOOD_STANDING / Forfeited - By Court Order,3,899317,0.0,1996.0,1996.0,1998.0,3.0,1934,2009,2025,RARE: <0.01% of state,Forfeited - By Court Order,
KS,INACTIVE / (none) / Filing Rescinded,2,899317,0.0,2002.0,2002.0,2002.0,2.0,1934,2009,2025,RARE: <0.01% of state,Filing Rescinded,
KS,ACTIVE / GOOD_STANDING / Active And In Good Standing,2,899317,0.0,2015.0,2015.0,2019.0,2.0,1934,2009,2025,RARE: <0.01% of state,Active And In Good Standing,
KS,INACTIVE / (none) / Forfeited   Failed To Timely File A/R,2,899317,0.0,1865.0,1865.0,2019.0,2.0,1934,2009,2025,RARE: <0.01% of state,Forfeited   Failed To Timely File A/R,
KS,UNKNOWN / (none) / Delinquent Pending Examination of I/R,1,899317,0.0,2023.0,2023.0,2023.0,1.0,1934,2009,2025,RARE: <0.01% of state,Delinquent Pending Examination of I/R,
KS,INACTIVE / NOT_GOOD_STANDING / Forfeited - Pursuant to State Board,1,899317,0.0,1987.0,1987.0,1987.0,1.0,1934,2009,2025,RARE: <0.01% of state,Forfeited - Pursuant to State Board,
KS,INACTIVE / (none) / FILING RESCINDED,1,899317,0.0,,,,0.0,1934,2009,2025,RARE: <0.01% of state,FILING RESCINDED,
KS,ACTIVE / (none) / Registered,1,899317,0.0,1997.0,1997.0,1997.0,1.0,1934,2009,2025,RARE: <0.01% of state,Registered,
KS,INACTIVE / (none) / Closed By Order of Regulatory Board,1,899317,0.0,2011.0,2011.0,2011.0,1.0,1934,2009,2025,RARE: <0.01% of state,Closed By Order of Regulatory Board,
KS,INACTIVE / (none) / Forfeited   Failed To Correct And Return A/R,1,899317,0.0,2017.0,2017.0,2017.0,1.0,1934,2009,2025,RARE: <0.01% of state,Forfeited   Failed To Correct And Return A/R,
KS,INACTIVE / (none) / INCOMPLETE FILING -- NEVER ACTIVATED,1,899317,0.0,2021.0,2021.0,2021.0,1.0,1934,2009,2025,RARE: <0.01% of state,INCOMPLETE FILING -- NEVER ACTIVATED,
KS,UNKNOWN / (none) / Status Pending Examination Of A/R,1,899317,0.0,2017.0,2017.0,2017.0,1.0,1934,2009,2025,RARE: <0.01% of state,Status Pending Examination Of A/R,
KY,INACTIVE / (none) / Inactive,828926,1297582,63.882,1973.0,2007.0,2023.0,827032.0,1976,2013,2026,,Inactive,
KY,ACTIVE / GOOD_STANDING / Active,353221,1297582,27.221,1993.0,2021.0,2026.0,353219.0,1976,2013,2026,,Active,
KY,ACTIVE / PENDING_INACTIVE / Pending Dissolution,68105,1297582,5.249,2006.0,2024.0,2025.0,68105.0,1976,2013,2026,,Pending Dissolution,
KY,INACTIVE / (none) / Deleted,45992,1297582,3.544,1999.0,2020.0,2026.0,45937.0,1976,2013,2026,,Deleted,
KY,ACTIVE / (none) / Active,618,1297582,0.048,2012.0,2024.0,2026.0,618.0,1976,2013,2026,,Active,
KY,INACTIVE / PENDING_ACTIVE / On File,439,1297582,0.034,2007.0,2012.0,2021.0,439.0,1976,2013,2026,,On File,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
KY,INACTIVE / (none) / Unknown,152,1297582,0.012,1973.0,1988.0,1993.0,28.0,1976,2013,2026,,Unknown,
KY,INACTIVE / PENDING_ACTIVE / Name Reservation,96,1297582,0.007,2018.0,2026.0,2026.0,96.0,1976,2013,2026,RARE: <0.01% of state,Name Reservation,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
KY,UNKNOWN / (none) / (none),18,1297582,0.001,2002.0,2025.0,2026.0,18.0,1976,2013,2026,RARE: <0.01% of state,(none),
KY,INACTIVE / PENDING_ACTIVE / Pending Reinstatement,11,1297582,0.001,1993.0,2019.0,2024.0,11.0,1976,2013,2026,RARE: <0.01% of state,Pending Reinstatement,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
KY,ACTIVE / NOT_GOOD_STANDING / Active,4,1297582,0.0,2025.0,2026.0,2026.0,4.0,1976,2013,2026,RARE: <0.01% of state,Active,
LA,INACTIVE / (none) / INACTIVE,1060813,1774214,59.791,1960.0,2005.0,2022.0,1060813.0,1965,2010,2025,,INACTIVE,
LA,ACTIVE / GOOD_STANDING / ACTIVE,413519,1774214,23.307,1990.0,2019.0,2026.0,413519.0,1965,2010,2025,,ACTIVE,
LA,ACTIVE / NOT_GOOD_STANDING / ACTIVE,206433,1774214,11.635,1993.0,2021.0,2025.0,206433.0,1965,2010,2025,,ACTIVE,
LA,INACTIVE / (none) / HISTORY INACTIVE,52295,1774214,2.948,1927.0,1971.0,1978.0,52295.0,1965,2010,2025,RETIRED: 95% of filings before 1978 (state median 2010),HISTORY INACTIVE,
LA,ACTIVE / (none) / ACTIVE,25406,1774214,1.432,1981.0,1993.0,2023.0,25406.0,1965,2010,2025,,ACTIVE,
LA,INACTIVE / PENDING_INACTIVE / WITHDRAWAL PENDING,12260,1774214,0.691,1983.0,2008.0,2022.0,12260.0,1965,2010,2025,,WITHDRAWAL PENDING,
LA,ACTIVE / GOOD_STANDING / Active   In Good Standing,1938,1774214,0.109,1971.0,2011.0,2020.0,1938.0,1965,2010,2025,,Active   In Good Standing,
LA,ACTIVE / (none) / (none),762,1774214,0.043,1983.0,2011.0,2022.0,762.0,1965,2010,2025,,(none),
LA,ACTIVE / (none) / Active,212,1774214,0.012,1984.0,2007.0,2020.0,212.0,1965,2010,2025,,Active,
LA,ACTIVE / NOT_GOOD_STANDING / Active   Not In Good Standing For Failure To File Annual Report,167,1774214,0.009,1970.0,2012.0,2019.0,167.0,1965,2010,2025,RARE: <0.01% of state,Active   Not In Good Standing For Failure To File Annual Report,
LA,INACTIVE / (none) / Inactive   Action By Secretary Of State,95,1774214,0.005,1978.0,2009.0,2018.0,95.0,1965,2010,2025,RARE: <0.01% of state,Inactive   Action By Secretary Of State,
LA,INACTIVE / DISSOLVED / Dissolved,77,1774214,0.004,1921.0,1994.0,2017.0,77.0,1965,2010,2025,RARE: <0.01% of state,Dissolved,
LA,ACTIVE / GOOD_STANDING / Good Standing,64,1774214,0.004,1872.0,2010.0,2020.0,64.0,1965,2010,2025,RARE: <0.01% of state,Good Standing,
LA,INACTIVE / (none) / In Active,49,1774214,0.003,1860.0,1903.0,1944.0,49.0,1965,2010,2025,RARE: <0.01% of state,In Active,
LA,INACTIVE / (none) / Inactive,38,1774214,0.002,2016.0,2018.0,2018.0,38.0,1965,2010,2025,RARE: <0.01% of state,Inactive,
LA,INACTIVE / (none) / (none),37,1774214,0.002,1991.0,2012.0,2021.0,37.0,1965,2010,2025,RARE: <0.01% of state,(none),
LA,UNKNOWN / (none) / (none),14,1774214,0.001,1870.0,1956.0,1992.0,14.0,1965,2010,2025,RARE: <0.01% of state,(none),
LA,ACTIVE / PENDING_INACTIVE / Active (Voluntary Withdrawal Pending),12,1774214,0.001,1993.0,2008.0,2018.0,12.0,1965,2010,2025,RARE: <0.01% of state,Active (Voluntary Withdrawal Pending),
LA,INACTIVE / (none) / Revoked,7,1774214,0.0,1936.0,1967.0,1996.0,7.0,1965,2010,2025,RARE: <0.01% of state,Revoked,
LA,INACTIVE / (none) / Canceled,6,1774214,0.0,1930.0,1943.0,2004.0,6.0,1965,2010,2025,RARE: <0.01% of state,Canceled,
LA,ACTIVE / PENDING_INACTIVE / Intent To Dissolve   Failure To File Annual Report,4,1774214,0.0,2013.0,2014.0,2016.0,4.0,1965,2010,2025,RARE: <0.01% of state,Intent To Dissolve   Failure To File Annual Report,
LA,INACTIVE / (none) / Merged,3,1774214,0.0,1898.0,1920.0,1949.0,3.0,1965,2010,2025,RARE: <0.01% of state,Merged,
LA,INACTIVE / (none) / Inactive   Revoked/Wdpnd,1,1774214,0.0,2009.0,2009.0,2009.0,1.0,1965,2010,2025,RARE: <0.01% of state,Inactive   Revoked/Wdpnd,
LA,INACTIVE / (none) / Inactive   Surrendered,1,1774214,0.0,2017.0,2017.0,2017.0,1.0,1965,2010,2025,RARE: <0.01% of state,Inactive   Surrendered,
LA,INACTIVE / PENDING_ACTIVE / PENDING,1,1774214,0.0,2017.0,2017.0,2017.0,1.0,1965,2010,2025,RARE: <0.01% of state,PENDING,INACTIVE+PENDING_ACTIVE is a valid combo (filing not yet effective): CONFLICT flag removed
MA,INACTIVE / (none) / (none),1072673,1710495,62.711,1968.0,2001.0,2021.0,1072642.0,1971,2009,2025,,(none),
